gid,pid,seas,week,day,v,h,stad,temp,humd,wspd,wdir,cond,surf,ou,sprv,off,def,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,pts,blk,brcv,fgxp,fkicker,NumKicks,dist,good,ptsv,ptsh,iced,detail,surface,elapsedtime
2239,363365,2008,9,SUN,TB,KC,Arrowhead Stadium,69,61,0,CALM,Sunny,Grass,36.5,-9,TB,KC,7,3,2,0,4,10,24,0,0,1,10,75,3,,,FG,MB-4600,310,43,Y,30,27,0,"(:04) M.Bryant 43 yard field goal is GOOD, Center-A.Economos, Holder-J.Bidwell.",Grass,15.06666667
2239,363417,2008,9,SUN,TB,KC,Arrowhead Stadium,69,61,0,CALM,Sunny,Grass,36.5,-9,KC,TB,10,3,4,7,41,24,19,3,2,4,6,91,3,,,FG,CB-0700,120,28,Y,30,27,0,"(7:41) C.Barth 28 yard field goal is GOOD, Center-T.Gafford, Holder-S.Weatherford.",Grass,52.68333333
2239,363455,2008,9,SUN,TB,KC,Arrowhead Stadium,69,61,0,CALM,Sunny,Grass,36.5,-9,TB,KC,9,3,5,10,27,27,27,3,2,4,1,84,3,,,FG,MB-4600,310,34,Y,30,27,0,"(10:27) M.Bryant 34 yard field goal is GOOD, Center-A.Economos, Holder-J.Bidwell.",Grass,60
2240,363471,2008,9,SUN,BAL,CLE,Cleveland Browns Stadium,55,73,12,SE,Sunny,Grass,37,1,BAL,CLE,9,3,1,10,43,0,0,3,3,4,12,77,3,,,FG,MS-5200,335,41,Y,37,27,0,"(10:43) M.Stover 41 yard field goal is GOOD, Center-M.Katula, Holder-S.Koch.",Grass,10.71666667
2240,363520,2008,9,SUN,BAL,CLE,Cleveland Browns Stadium,55,73,12,SE,Sunny,Grass,37,1,CLE,BAL,11,3,2,5,53,7,10,3,2,4,1,94,3,,,FG,PD-0200,395,23,Y,37,27,0,"(5:53) P.Dawson 23 yard field goal is GOOD, Center-R.Pontbriand, Holder-D.Zastudil.",Grass,20.88333333
2240,363533,2008,9,SUN,BAL,CLE,Cleveland Browns Stadium,55,73,12,SE,Sunny,Grass,37,1,BAL,CLE,12,3,2,0,32,10,10,1,1,4,14,86,3,,,FG,MS-5200,335,32,Y,37,27,1,"(:32) M.Stover 32 yard field goal is GOOD, Center-M.Katula, Holder-S.Koch.",Grass,15.53333333
2240,363539,2008,9,SUN,BAL,CLE,Cleveland Browns Stadium,55,73,12,SE,Sunny,Grass,37,1,CLE,BAL,5,4,2,0,7,10,13,0,1,3,10,63,3,,,FG,PD-0200,395,54,Y,37,27,0,"(:07) P.Dawson 54 yard field goal is GOOD, Center-R.Pontbriand, Holder-D.Zastudil.",Grass,15.11666667
2240,363607,2008,9,SUN,BAL,CLE,Cleveland Browns Stadium,55,73,12,SE,Sunny,Grass,37,1,BAL,CLE,5,4,4,5,40,27,27,1,3,4,4,96,3,,,FG,MS-5200,335,22,Y,37,27,0,"(5:40) M.Stover 22 yard field goal is GOOD, Center-M.Katula, Holder-S.Koch.",Grass,50.66666667
2241,363640,2008,9,SUN,NYJ,BUF,Ralph Wilson Stadium,49,50,15,E,Sunny,AstroPlay,41.5,5.5,NYJ,BUF,6,4,1,13,17,0,0,3,3,4,8,81,3,,,FG,JF-0900,414,37,Y,26,17,0,"(13:17) J.Feely 37 yard field goal is GOOD, Center-J.Dearth, Holder-R.Hodges.",Turf,13.28333333
2241,363657,2008,9,SUN,NYJ,BUF,Ralph Wilson Stadium,49,50,15,E,Sunny,AstroPlay,41.5,5.5,NYJ,BUF,4,1,1,8,6,3,7,3,2,4,8,92,3,,,FG,JF-0900,414,26,Y,26,17,0,"(8:06) J.Feely 26 yard field goal is GOOD, Center-J.Dearth, Holder-R.Hodges.",Turf,8.1
